id;title;intro;blog;created
1;Investment Account Dalasi program;invoice;../fake-data/blob/hipster.txt;2020-07-15T05:52:23
2;vortals infomediaries system;Interactions Avon;../fake-data/blob/hipster.txt;2020-07-14T13:08:42
3;capacity Configuration;generating;../fake-data/blob/hipster.txt;2020-07-14T15:59:28
4;Credit Card Account bandwidth-monitored;Enterprise-wide Investor Plastic;../fake-data/blob/hipster.txt;2020-07-14T18:50:15
5;Steel challenge;optical Netherlands Antilles;../fake-data/blob/hipster.txt;2020-07-14T23:16:27
6;matrix;Grove;../fake-data/blob/hipster.txt;2020-07-15T00:18:08
7;Roads Division backing up;Architect Personal Loan Account lime;../fake-data/blob/hipster.txt;2020-07-14T18:36:31
8;auxiliary;Security;../fake-data/blob/hipster.txt;2020-07-14T10:22:11
9;optical Practical Metal Bike Handcrafted;calculating transmit withdrawal;../fake-data/blob/hipster.txt;2020-07-14T11:35:39
10;Avon exuding Berkshire;digital projection;../fake-data/blob/hipster.txt;2020-07-14T16:42:48
